"last_name, first_name",player_id,year,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z_induced
"Boyd, Matthew",571510,2025,78.7,1819,15.7,5.7
"Kochanowicz, Jack",686799,2025,89.8,2110,-9,2.5
"Sugano, Tomoyuki",608372,2025,0,0,0,0
"Martinez, Nick",607259,2025,78.5,2007,-11.2,5.1
"Bassitt, Chris",605135,2025,84.5,1917,-16.4,3.7
"Pepiot, Ryan",686752,2025,86.7,2506,-14.4,2.1
"Freeland, Kyle",607536,2025,86.4,1500,12.2,6.8
"Corbin, Patrick",571578,2025,81.5,1503,12.4,8.7
"Cecconi, Slade",677944,2025,84.3,1616,-14.1,3.3
"Sánchez, Cristopher",650911,2025,86.2,2043,16.9,-1.1
"Gausman, Kevin",592332,2025,0,0,0,0
"Kirby, George",669923,2025,87.8,1423,-15.5,5.9
"Wheeler, Zack",554430,2025,0,0,0,0
"Cameron, Noah",702070,2025,81.3,1506,10.8,11.4
"Bibee, Tanner",676440,2025,81.8,1967,-12.1,11.4
"Kremer, Dean",665152,2025,0,0,0,0
"Williams, Gavin",668909,2025,87.6,1986,-5.4,5
"Burke, Sean",680732,2025,85.4,1820,-14.9,8.9
"Holmes, Clay",605280,2025,88.1,1108,-12.1,0.5
"Alcantara, Sandy",645261,2025,90.5,2091,-17.5,4.8
"Anderson, Tyler",542881,2025,78.7,1916,13.2,12.2
"Lord, Brad",695418,2025,85.9,1949,-17.7,5.6
"Heaney, Andrew",571760,2025,82,2107,17,4.9
"Gore, MacKenzie",669022,2025,86.1,2089,14,8.3
"Martin, Davis",663436,2025,90.1,2059,-14.3,1.1
"Castillo, Luis",622491,2025,87.2,1970,-17.7,-0.5
"Yamamoto, Yoshinobu",808967,2025,0,0,0,0
"Abbott, Andrew",671096,2025,84.8,1978,15.1,10.2
"Parker, Mitchell",680730,2025,0,0,0,0
"Fried, Max",608331,2025,85.1,1668,13.2,3.6
"Lodolo, Nick",666157,2025,87.9,1833,17.1,1.8
"Ray, Robbie",592662,2025,84.8,1650,11.4,11.7
"Rodriguez, Eduardo",593958,2025,86,1939,16,6
"Nelson, Ryne",669194,2025,87,1799,-13.1,12.7
"Woo, Bryan",693433,2025,89.6,1827,-16.2,4.6
"Holmes, Grant",656550,2025,90.2,1478,-12.8,1.2
"Pfaadt, Brandon",694297,2025,87.4,2115,-16.1,4.2
"Wacha, Michael",608379,2025,79.9,1534,-13,7.4
"Valdez, Framber",664285,2025,89.9,1709,14.7,0.8
"Márquez, Germán",608566,2025,88.9,1663,-12.1,8.6
"Lorenzen, Michael",547179,2025,83.8,1981,-15.3,8.8
"Soriano, José",667755,2025,86.9,1221,-5.8,-0.6
"Singer, Brady",663903,2025,0,0,0,0
"Smith, Shane",681343,2025,90,1591,-14.6,1.4
"Springs, Jeffrey",605488,2025,79.2,1394,12.6,6.7
"Severino, Luis",622663,2025,86.2,1600,-13.9,7.2
"Lugo, Seth",607625,2025,86.2,1671,-14.8,4.4
"Mize, Casey",663554,2025,0,0,0,0
"Strider, Spencer",675911,2025,85.9,1931,-13.7,6.4
"Vásquez, Randy",681190,2025,86.9,2061,-18.5,5
"Kelly, Merrill",518876,2025,88.3,2157,-15.1,0.1
"Luzardo, Jesús",666200,2025,87.9,1929,16.5,7.3
"Senzatela, Antonio",622608,2025,87.6,2200,-9.7,6.8
"Cabrera, Edward",665795,2025,94.2,1753,-17.5,4.5
"Berríos, José",621244,2025,85.2,1555,-14.5,4.3
"Elder, Bryce",693821,2025,86.6,2171,-11.9,4.6
"Ryan, Joe",657746,2025,0,0,0,0
"Fedde, Erick",607200,2025,87.5,1809,-12.3,2.7
"Gilbert, Logan",669302,2025,0,0,0,0
"Kikuchi, Yusei",579328,2025,85.5,1540,13.6,6.7
"Bello, Brayan",678394,2025,88.7,1844,-16.1,4.6
"Verlander, Justin",434378,2025,84.7,1729,-13,9.4
"Irvin, Jake",663623,2025,85.6,2197,-15.6,4.8
"Skenes, Paul",694973,2025,88.7,1815,-16.6,5.3
"Rea, Colin",607067,2025,0,0,0,0
"Falter, Bailey",663559,2025,0,0,0,0
"Pallante, Andre",669467,2025,0,0,0,0
"Paddack, Chris",663978,2025,84.5,1808,-14.9,4.6
"Imanaga, Shota",684007,2025,0,0,0,0
"Cease, Dylan",656302,2025,77.3,1681,-8.5,17.9
