Name,player id,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH
"Martin, Davis",663436,93.25955679,97.25625,99.69957447,0,97.9651,93.13401869,97.74847584
"Martinez, Nick",607259,85.8026465,91.1337931,80.67027829,0,92.92077561,82.05934418,111.5352286
"May, Dustin",669160,98.9299723,97.48826923,85.32590476,0,108.8767315,0,83.86117647
"Mikolas, Miles",571945,79.13502924,91.61291667,0,0,90.58525984,105.394506,79.03617329
"Mize, Casey",663554,95.96585052,101.7870896,0,99.33387097,80.11479769,99.45466667,0
"Morton, Charlie",450203,85.66665706,94.19429319,88.02304348,0,0,118.8447004,92.2513834
"Nelson, Ryne",669194,115.2430931,0,91.81172185,0,101.8175515,100.2824535,83.60914286
"Ober, Bailey",641927,91.84933333,77.59875,0,0,91.97624413,84.1894382,103.3892401
"Paddack, Chris",663978,94.87396504,90.92057143,81.85257143,0,86.38215007,83.10179873,97.96481675
"Pallante, Andre",669467,92.46282137,100.1786667,0,0,93.04329049,92.84383202,0
"Parker, Mitchell",680730,88.34846618,0,0,97.56055556,96.1461442,93.52701105,0
"Patrick, Chad",694477,106.9831121,94.34248394,110.8984428,81.82,117.7065244,113.782963,86.63278689
"Pepiot, Ryan",686752,112.1965325,98.37636364,96.95566138,0,98.75174946,109.4379775,116.5465185
"Peralta, Freddy",642547,108.2475,0,0,0,112.5437785,105.3909474,79.404479
"Peterson, David",656849,79.93067103,95.11616751,0,0,99.49984496,85.22704607,86.23584541
"Pfaadt, Brandon",694297,101.6516024,93.18005997,92.82877049,0,113.8857358,100.4868345,76.35168889
"Pivetta, Nick",601713,96.27564024,89.92477876,83.223083,79.864,113.5811129,94.8614157,0
"Priester, Quinn",682990,0,103.0645509,84.22421941,0,98.13683133,103.2991387,92.88324324
"Quantrill, Cal",615698,80.91618582,85.71063063,87.98645161,90.75311005,97.0110303,96.68525424,77.38
"Quintana, Jose",500779,79.80062992,84.74110879,0,0,0,93.64741201,81.54975
"Rasmussen, Drew",656876,113.2046308,117.6960155,107.8990678,0,117.6410909,89.51237113,126.5228571
"Ray, Robbie",592662,105.981768,0,0,0,91.30176387,89.97762803,80.56235589
"Rea, Colin",607067,86.26127413,98.30190871,89.90184783,95.07169435,113.6144765,93.165,0
"Rodón, Carlos",607074,100.7740916,108.4731353,99.46,0,108.945885,96.71590164,104.9649699
"Rodriguez, Eduardo",593958,89.82053082,96.70146341,93.52490099,0,101.0058915,87.69473684,87.23859375
"Ryan, Joe",657746,106.5602441,100.99967,0,92.38026059,100.5097133,115.3584762,0
"Sánchez, Cristopher",650911,0,113.3604304,0,0,110.4993191,0,116.3973823
"Sears, JP",676664,78.73411894,73.19426573,0,0,123.7591764,118.0475862,75.32022857
"Senzatela, Antonio",622608,76.08605459,77.845,0,0,103.5848196,102.442963,78.29977011
"Severino, Luis",622663,106.6412185,96.28419014,97.4272956,0,132.8223439,0,92.91737931
"Singer, Brady",663903,91.7439322,99.37124889,81.35022222,0,95.01354839,0,0
"Skenes, Paul",694973,97.71697324,114.4519713,0,89.54459658,131.2301543,118.0574286,102.0980368
"Skubal, Tarik",669373,113.397717,110.5087111,0,113.18,114.1742373,116.7151899,123.504067
"Smith, Shane",681343,91.555,97.17671875,0,0,96.98533333,93.59301775,100.8592947
"Soriano, José",667755,82.86878661,101.3828655,0,111.6727344,114.2298824,75.15692308,144.496
"Springs, Jeffrey",605488,90.17993416,0,91.40206452,0,94.36149535,0,99.78911111
"Strider, Spencer",675911,91.1789675,0,0,0,103.9398034,99.55920455,99.46733333
"Suárez, Ranger",624133,83.75880952,99.62215569,94.76692308,0,113.4467257,97.74072917,94.57443207
"Sugano, Tomoyuki",608372,97.13275424,89.04118863,90.7987541,81.43113752,106.526558,86.14382114,0
"Taillon, Jameson",592791,90.45674863,89.57546875,91.42697509,0,114.775,86.04841699,97.59297561
"Valdez, Framber",664285,82.28181818,95.93478049,0,0,116.0665934,128.7526258,101.0582239
"Vásquez, Randy",681190,88.6322973,90.67417284,92.13607477,0,118.7793907,104.9186909,87.62945946
"Verlander, Justin",434378,92.85444735,85.3325,0,0,122.9844125,111.1794054,109.6316742
"Wacha, Michael",608379,85.89006729,88.6025,79.58526316,0,88.14071429,92.6276,132.2859056
"Walker, Taijuan",592836,89.90623656,84.67653659,95.11118812,78.51250575,109.7040517,85.89646154,0
"Warren, Will",701542,97.79390374,104.6724913,0,0,105.0828673,111.1797884,85.97977528
"Webb, Logan",657277,103.3582787,114.0796682,86.59834646,0,92.28910377,0,110.9245455
"Wheeler, Zack",554430,108.9766361,119.5516462,96.78543689,98.27632075,116.3589831,127.3108155,0
"Williams, Gavin",668909,100.0488015,100.0545078,85.91395122,0,105.091511,115.977037,86.9
"Woo, Bryan",693433,104.8085892,107.227464,0,0,109.8774632,0,81.21108808
"Yamamoto, Yoshinobu",808967,94.82305641,103.4985149,91.09044369,109.1118009,107.0509333,87.11391863,0
